Plot-Time     ,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24
0.121457,4.38052,4.51276,4.24754,4.16168,4.59872,4.73247,4.02859,4.20553,4.55546,4.51138,4.5974,4.51205,7.54861,7.85338,7.24398,6.94342,8.15475,7.92904,7.17613,7.77348,7.32377,7.85489,8.15637,7.24514
0.133603,4.76917,4.91314,4.62441,4.53091,5.00675,5.15232,4.38604,4.57864,4.95964,4.91156,5.00523,4.91228,8.15947,8.48884,7.83027,7.50533,8.81462,8.57066,7.75676,8.40259,7.9164,8.49019,8.81609,7.83126
0.145749,5.14949,5.30493,4.99321,4.89223,5.40603,5.56318,4.73583,4.94376,5.35516,5.30315,5.40431,5.30391,8.74759,9.1006,8.39474,8.04632,9.4499,9.18837,8.31575,9.00827,8.48695,9.10176,9.45118,8.39551
0.157895,5.52163,5.6883,5.35408,5.24579,5.79674,5.96519,5.0781,5.30103,5.74218,5.68632,5.79481,5.68712,9.31371,9.68948,8.93811,8.56708,10.0614,9.78298,8.85383,9.59131,9.03616,9.6904,10.0625,8.93864
0.17004,5.88576,6.06341,5.70718,5.59172,6.17902,6.35854,5.41301,5.6506,6.12086,6.0612,6.17688,6.06204,9.85858,10.2562,9.4611,9.06829,10.65,10.3553,9.37168,10.1525,9.56474,10.2569,10.6508,9.46134
0.182186,6.24201,6.4304,6.05265,5.93017,6.55304,6.74338,5.74067,5.9926,6.49135,6.42797,6.55068,6.42885,10.3829,10.8016,9.96438,9.55062,11.2163,10.906,9.87001,10.6925,10.0734,10.802,11.2168,9.96432
0.194332,6.59053,6.78944,6.39063,6.26128,6.91896,7.11986,6.06123,6.32719,6.8538,6.78677,6.91637,6.78768,10.8874,11.3264,10.4486,10.0147,11.7613,11.4358,10.3495,11.2121,10.5628,11.3264,11.7614,10.4482
0.206478,6.93147,7.14065,6.72125,6.58519,7.27691,7.48815,6.37482,6.65449,7.20837,7.13775,7.27408,7.13869,11.3727,11.8311,10.9145,10.4611,12.2855,11.9455,10.8107,11.7119,11.0336,11.8308,12.2852,10.9137
0.218623,7.26496,7.4842,7.04466,6.90202,7.62705,7.8484,6.68156,6.97465,7.5552,7.48105,7.62398,7.48202,11.8395,12.3166,11.3626,10.8905,12.7896,12.4358,11.2543,12.1926,11.4864,12.3159,12.789,11.3614
0.230769,7.59115,7.82022,7.36099,7.21191,7.96952,8.20075,6.98159,7.28779,7.89443,7.81682,7.9662,7.81782,12.2883,12.7835,11.7934,11.3034,13.2745,12.9072,11.6808,12.655,11.9218,12.7823,13.2734,11.7919
0.242915,7.91016,8.14886,7.67037,7.51499,8.30446,8.54535,7.27502,7.59405,8.2262,8.1452,8.30089,8.14621,12.7199,13.2323,12.2077,11.7004,13.7406,13.3604,12.0909,13.0995,12.3404,13.2307,13.7391,12.2057
0.255061,8.22214,8.47024,7.97292,7.81139,8.63202,8.88234,7.56199,7.89355,8.55066,8.46632,8.62819,8.46736,13.1347,13.6637,12.606,12.082,14.1886,13.7961,12.4851,13.5267,12.7428,13.6617,14.1867,12.6035
0.267206,8.52722,8.78451,8.26878,8.10122,8.95233,9.21187,7.8426,8.18642,8.86794,8.78032,8.94824,8.78138,13.5334,14.0783,12.9887,12.4488,14.6192,14.2148,12.8639,13.9374,13.1295,14.0758,14.6169,12.9858
0.279352,8.82551,9.09179,8.55808,8.38461,9.26553,9.53408,8.11698,8.47278,9.17816,9.08733,9.26117,9.08841,13.9165,14.4767,13.3565,12.8012,15.033,14.6171,13.2279,14.3319,13.5011,14.4737,15.0301,13.3531
0.291498,9.11715,9.39222,8.84092,8.66168,9.57174,9.8491,8.38525,8.75275,9.48148,9.38749,9.56711,9.38857,14.2845,14.8594,13.7098,13.1397,15.4304,15.0036,13.5775,14.7109,13.858,14.8559,15.427,13.7059
0.303644,9.40227,9.68592,9.11743,8.93256,9.87111,10.1571,8.64752,9.02646,9.778,9.68091,9.86619,9.68201,14.6379,15.2269,14.0491,13.4648,15.8121,15.3747,13.9133,15.075,14.2008,15.2229,15.8082,14.0447
0.315789,9.68098,9.97303,9.38773,9.19734,10.1637,10.4581,8.90389,9.29401,10.0679,9.96773,10.1585,9.96884,14.9772,15.5797,14.3748,13.777,16.1785,15.731,14.2357,15.4245,14.5299,15.5752,16.1741,14.3699
0.327935,9.9534,10.2537,9.65194,9.45615,10.4498,10.7523,9.15449,9.55553,10.3512,10.2481,10.4443,10.2492,15.3029,15.9184,14.6876,14.0766,16.5303,16.0731,14.5451,15.76,14.8459,15.9134,16.5253,14.6821
0.340081,10.2196,10.5279,9.91017,9.7091,10.7293,11.0399,9.39941,9.81112,10.6281,10.522,10.7236,10.5232,15.6154,16.2434,14.9877,14.3641,16.8678,16.4013,14.842,16.0819,15.149,16.2378,16.8624,14.9817
0.352227,10.4798,10.7959,10.1625,9.95629,11.0025,11.321,9.63876,10.0609,10.8987,10.7898,10.9965,10.7909,15.9153,16.5552,15.2756,14.64,17.1916,16.7162,15.1269,16.3908,15.4398,16.549,17.1856,15.2691
0.364372,10.7341,11.0579,10.4091,10.1978,11.2695,11.5956,9.87265,10.305,11.1631,11.0514,11.2632,11.0525,16.2028,16.8542,15.5517,14.9045,17.5022,17.0182,15.4001,16.687,15.7187,16.8475,17.4956,15.5447
0.376518,10.9825,11.3138,10.6501,10.4339,11.5304,11.8639,10.1012,10.5434,11.4215,11.307,11.5237,11.3081,16.4785,17.1408,15.8165,15.1582,17.7999,17.3077,15.662,16.971,15.9861,17.1336,17.7928,15.8089
0.388664,11.2252,11.5638,10.8854,10.6644,11.7852,12.126,10.3244,10.7764,11.6739,11.5567,11.7782,11.5578,16.7428,17.4156,16.0702,15.4013,18.0853,17.5852,15.913,17.2432,16.2424,17.4078,18.0776,16.0621
0.40081,11.4623,11.808,11.1154,10.8897,12.0341,12.3821,10.5425,11.004,11.9205,11.8006,12.0269,11.8018,16.996,17.6788,16.3133,15.6342,18.3587,17.8511,16.1535,17.504,16.488,17.6705,18.3505,16.3047
0.412955,11.6939,12.0465,11.34,11.1097,12.2773,12.6322,10.7556,11.2263,12.1613,12.0388,12.2697,12.04,17.2384,17.9309,16.5462,15.8573,18.6205,18.1057,16.3838,17.7538,16.7231,17.922,18.6117,16.537
0.425101,11.92,12.2795,11.5594,11.3245,12.5148,12.8764,10.9636,11.4434,12.3965,12.2715,12.5069,12.2726,17.4706,18.1722,16.7691,16.0709,18.8712,18.3494,16.6043,17.993,16.9483,18.1628,18.8618,16.7594
0.437247,12.1409,12.507,11.7736,11.5343,12.7467,13.115,11.1668,11.6554,12.6262,12.4987,12.7385,12.4998,17.6927,18.4032,16.9825,16.2753,19.1111,18.5827,16.8153,18.2218,17.1637,18.3932,19.1012,16.9722
0.449393,12.3565,12.7291,11.9827,11.7392,12.9731,13.3479,11.3652,11.8624,12.8505,12.7205,12.9647,12.7216,17.9053,18.6241,17.1866,16.4708,19.3406,18.8059,17.0171,18.4408,17.3698,18.6135,19.3301,17.1758
0.461538,12.567,12.946,12.187,11.9392,13.1942,13.5752,11.5589,12.0645,13.0695,12.9371,13.1854,12.9382,18.1085,18.8354,17.3818,16.6578,19.56,19.0192,17.2101,18.6501,17.5669,18.8242,19.5489,17.3704
0.473684,12.7726,13.1577,12.3863,12.1345,13.41,13.7972,11.748,12.2618,13.2833,13.1485,13.401,13.1496,18.3027,19.0372,17.5683,16.8364,19.7697,19.2232,17.3945,18.8502,17.7552,19.0255,19.7581,17.5564
0.48583,12.9732,13.3643,12.5809,12.3251,13.6207,14.0138,11.9326,12.4544,13.4919,13.3548,13.6113,13.3559,18.4882,19.23,17.7465,17.0071,19.97,19.4179,17.5707,19.0413,17.9351,19.2178,19.9578,17.734
0.497976,13.1689,13.566,12.7708,12.5111,13.8263,14.2253,12.1127,12.6423,13.6955,13.5562,13.8166,13.5572,18.6653,19.4141,17.9166,17.1701,20.1612,19.6039,17.7389,19.2238,18.1069,19.4014,20.1485,17.9036
0.5,13.2011,13.5991,12.802,12.5416,13.8601,14.26,12.1423,12.6732,13.729,13.5892,13.8503,13.5903,18.694,19.444,17.9442,17.1965,20.1922,19.6341,17.7661,19.2534,18.1347,19.4311,20.1794,17.9311
0.510121,13.36,13.7627,12.9561,12.6925,14.0269,14.4316,12.2884,12.8257,13.8942,13.7526,14.0169,13.7537,18.8343,19.5898,18.079,17.3255,20.3437,19.7813,17.8993,19.3979,18.2707,19.5765,20.3304,18.0654
0.522267,13.5464,13.9547,13.1369,12.8696,14.2226,14.6328,12.4599,13.0046,14.0881,13.9443,14.2123,13.9454,18.9954,19.7573,18.2338,17.4738,20.5177,19.9505,18.0523,19.5639,18.427,19.7434,20.5039,18.2197
0.534413,13.7282,14.142,13.3133,13.0424,14.4136,14.8292,12.6272,13.1791,14.2772,14.1313,14.4029,14.1323,19.149,19.9169,18.3813,17.6151,20.6835,20.1118,18.1982,19.7222,18.5759,19.9025,20.6692,18.3668
0.546559,13.9055,14.3247,13.4853,13.2108,14.5998,15.0207,12.7904,13.3494,14.4616,14.3136,14.5888,14.3147,19.2953,20.0689,18.5219,17.7497,20.8414,20.2654,18.337,19.8729,18.7178,20.054,20.8266,18.5068
0.558704,14.0785,14.5029,13.6531,13.3752,14.7814,15.2075,12.9495,13.5154,14.6415,14.4915,14.7702,14.4925,19.4345,20.2136,18.6556,17.8778,20.9917,20.4116,18.4692,20.0163,18.8528,20.1982,20.9763,18.64
0.57085,14.2471,14.6766,13.8167,13.5354,14.9586,15.3896,13.1047,13.6773,14.8169,14.6649,14.947,14.6659,19.5669,20.3512,18.7828,17.9997,21.1347,20.5506,18.5949,20.1528,18.9811,20.3352,21.1187,18.7667
0.582996,14.4116,14.8459,13.9762,13.6916,15.1312,15.5672,13.256,13.8351,14.988,14.8339,15.1193,14.8349,19.6927,20.482,18.9037,18.1154,21.2705,20.6826,18.7143,20.2824,19.1031,20.4655,21.2541,18.8871
0.595142,14.5718,15.011,14.1317,13.8439,15.2995,15.7402,13.4035,13.9889,15.1547,14.9987,15.2873,14.9997,19.8122,20.6061,19.0185,18.2253,21.3995,20.8081,18.8277,20.4055,19.2189,20.5891,21.3825,19.0014
0.607287,14.728,15.1719,14.2832,13.9923,15.4636,15.9089,13.5472,14.1389,15.3171,15.1593,15.4511,15.1603,19.9255,20.7238,19.1274,18.3296,21.5218,20.927,18.9353,20.5223,19.3288,20.7063,21.5043,19.1098
0.619433,14.8802,15.3287,14.4309,14.1369,15.6234,16.0733,13.6873,14.285,15.4754,15.3158,15.6106,15.3167,20.0329,20.8354,19.2305,18.4284,21.6377,21.0397,19.0372,20.6329,19.4329,20.8174,21.6197,19.2125
0.631579,15.0285,15.4814,14.5747,14.2777,15.7792,16.2334,13.8237,14.4273,15.6297,15.4682,15.7661,15.4691,20.1345,20.941,19.3282,18.522,21.7474,21.1464,19.1336,20.7377,19.5314,20.9225,21.729,19.3097
0.643725,15.173,15.6302,14.7149,14.415,15.9309,16.3894,13.9567,14.566,15.7799,15.6167,15.9175,15.6176,20.2306,21.0408,19.4206,18.6104,21.8512,21.2473,19.2249,20.8367,19.6246,21.0219,21.8322,19.4016
0.65587,15.3137,15.7751,14.8514,14.5486,16.0786,16.5413,14.0861,14.701,15.9263,15.7613,16.0649,15.7622,20.3214,21.1351,19.5079,18.6939,21.9491,21.3426,19.311,20.9303,19.7126,21.1157,21.9297,19.4884
0.668016,15.4506,15.9162,14.9843,14.6788,16.2225,16.6892,14.2122,14.8325,16.0687,15.9021,16.2085,15.9029,20.407,21.2241,19.5902,18.7727,22.0416,21.4325,19.3922,21.0185,19.7956,21.2042,22.0217,19.5703
0.680162,15.584,16.0536,15.1136,14.8055,16.3626,16.8332,14.3349,14.9605,16.2074,16.0391,16.3482,16.04,20.4877,21.3078,19.6677,18.8469,22.1286,21.5172,19.4687,21.1016,19.8738,21.2875,22.1083,19.6474
0.692308,15.7138,16.1873,15.2396,14.9288,16.4989,16.9733,14.4543,15.085,16.3424,16.1725,16.4842,16.1733,20.5635,21.3866,19.7406,18.9167,22.2104,21.5968,19.5407,21.1798,19.9473,21.3658,22.1897,19.7198
0.704453,15.8401,16.3173,15.3621,15.0487,16.6315,17.1097,14.5705,15.2063,16.4738,16.3023,16.6166,16.3031,20.6347,21.4605,19.809,18.9822,22.2873,21.6715,19.6082,21.2532,20.0163,21.4393,22.266,19.7879
0.716599,15.963,16.4439,15.4813,15.1655,16.7606,17.2423,14.6836,15.3242,16.6016,16.4286,16.7453,16.4293,20.7014,21.5298,19.8732,19.0436,22.3593,21.7415,19.6715,21.3219,20.081,21.5082,22.3376,19.8516
0.728745,16.0825,16.567,15.5973,15.279,16.8861,17.3713,14.7936,15.4389,16.7259,16.5514,16.8706,16.5521,20.7638,21.5946,19.9331,19.101,22.4266,21.807,19.7306,21.3862,20.1414,21.5725,22.4045,19.9112
0.740891,16.1987,16.6867,15.71,15.3894,17.0082,17.4968,14.9006,15.5505,16.8468,16.6708,16.9923,16.6715,20.822,21.655,19.9891,19.1546,22.4894,21.868,19.7858,21.4462,20.1978,21.6326,22.4669,19.9667
0.753036,16.3116,16.803,15.8196,15.4968,17.1268,17.6188,15.0045,15.6589,16.9643,16.7868,17.1107,16.7875,20.8762,21.7113,20.0412,19.2045,22.5478,21.9249,19.8372,21.5021,20.2503,21.6884,22.5249,20.0185
0.765182,16.4215,16.9161,15.9262,15.6011,17.2422,17.7373,15.1056,15.7643,17.0786,16.8996,17.2258,16.9003,20.9265,21.7635,20.0896,19.2508,22.6021,21.9777,19.8849,21.5539,20.299,21.7402,22.5788,20.0664
0.777328,16.5281,17.026,16.0297,15.7024,17.3542,17.8525,15.2038,15.8667,17.1895,17.0092,17.3375,17.0099,20.973,21.8118,20.1344,19.2936,22.6523,22.0265,19.929,21.6019,20.3441,21.7881,22.6286,20.1108
0.789474,16.6318,17.1328,16.1303,15.8009,17.4631,17.9644,15.2992,15.9662,17.2973,17.1157,17.4461,17.1163,21.0159,21.8563,20.1756,19.3331,22.6986,22.0715,19.9696,21.6461,20.3857,21.8323,22.6745,20.1517
0.801619,16.7324,17.2364,16.2279,15.8965,17.5688,18.0731,15.3918,16.0628,17.402,17.2191,17.5515,17.2197,21.0553,21.8972,20.2136,19.3694,22.7411,22.1129,20.007,21.6868,20.4239,21.8728,22.7166,20.1893
0.813765,16.8301,17.3371,16.3227,15.9893,17.6714,18.1785,15.4817,16.1565,17.5037,17.3194,17.6539,17.32,21.0913,21.9346,20.2482,19.4025,22.7799,22.1507,20.0411,21.7239,20.4588,21.9098,22.7551,20.2236
0.825911,16.9249,17.4347,16.4148,16.0794,17.7711,18.2809,15.569,16.2475,17.6023,17.4168,17.7532,17.4173,21.1241,21.9685,20.2798,19.4327,22.8153,22.185,20.0722,21.7577,20.4905,21.9434,22.7901,20.2548
0.838057,17.0169,17.5295,16.504,16.1668,17.8677,18.3802,15.6537,16.3358,17.698,17.5113,17.8496,17.5118,21.1537,21.9993,20.3083,19.46,22.8472,22.2161,20.1002,21.7883,20.5192,21.9738,22.8217,20.283
0.850202,17.1062,17.6214,16.5906,16.2516,17.9614,18.4765,15.7358,16.4215,17.7908,17.6029,17.943,17.6034,21.1803,22.0268,20.3339,19.4845,22.8759,22.244,20.1254,21.8157,20.545,22.0011,22.85,20.3083
0.862348,17.1927,17.7105,16.6746,16.3338,18.0523,18.5699,15.8155,16.5045,17.8808,17.6917,18.0336,17.6922,21.204,22.0514,20.3567,19.5063,22.9014,22.2688,20.1478,21.8402,20.5679,22.0253,22.8752,20.3308
0.874494,17.2765,17.7968,16.7559,16.4134,18.1404,18.6604,15.8926,16.585,17.968,17.7778,18.1214,17.7782,21.2248,22.073,20.3768,19.5255,22.9239,22.2907,20.1675,21.8617,20.5881,22.0465,22.8974,20.3506
0.88664,17.3577,17.8805,16.8348,16.4906,18.2257,18.7481,15.9674,16.6629,18.0525,17.8612,18.2065,17.8616,21.243,22.0917,20.3943,19.5422,22.9434,22.3097,20.1846,21.8804,20.6056,22.065,22.9166,20.3678
0.898785,17.4364,17.9615,16.9111,16.5653,18.3083,18.833,16.0398,16.7384,18.1343,17.9419,18.2889,17.9423,21.2585,22.1078,20.4093,19.5564,22.9601,22.3259,20.1992,21.8964,20.6206,22.0807,22.9329,20.3825
0.910931,17.5125,18.0399,16.985,16.6376,18.3883,18.9152,16.1099,16.8115,18.2135,18.0201,18.3686,18.0204,21.2714,22.1212,20.4218,19.5684,22.974,22.3395,20.2115,21.9098,20.6331,22.0938,22.9466,20.3947
0.923077,17.5862,18.1158,17.0565,16.7076,18.4657,18.9947,16.1777,16.8822,18.2902,18.0957,18.4457,18.096,21.282,22.132,20.432,19.5781,22.9854,22.3505,20.2214,21.9207,20.6433,22.1044,22.9576,20.4046
0.935223,17.6575,18.1891,17.1257,16.7753,18.5406,19.0716,16.2433,16.9506,18.3643,18.1688,18.5203,18.1691,21.2901,22.1404,20.4399,19.5856,22.9941,22.3591,20.229,21.9291,20.6512,22.1125,22.9661,20.4122
0.947368,17.7263,18.2601,17.1925,16.8408,18.613,19.1459,16.3068,17.0167,18.436,18.2395,18.5924,18.2398,21.296,22.1465,20.4456,19.5911,23.0004,22.3652,20.2346,21.9352,20.6568,22.1183,22.9721,20.4177
0.959514,17.7929,18.3286,17.2571,16.904,18.6829,19.2178,16.368,17.0806,18.5052,18.3078,18.6621,18.308,21.2997,22.1503,20.4493,19.5945,23.0044,22.3691,20.238,21.9391,20.6604,22.1218,22.9758,20.4211
0.97166,17.8572,18.3948,17.3195,16.9651,18.7504,19.2871,16.4272,17.1422,18.5721,18.3737,18.7294,18.374,21.3013,22.1518,20.4509,19.596,23.0061,22.3707,20.2394,21.9407,20.6619,22.1231,22.9772,20.4224
0.983806,17.9192,18.4587,17.3797,17.024,18.8156,19.3541,16.4843,17.2018,18.6366,18.4374,18.7943,18.4376,21.3008,22.1513,20.4505,19.5956,23.0055,22.3702,20.2389,21.9403,20.6614,22.1223,22.9765,20.4218
0.995951,17.9791,18.5203,17.4378,17.0809,18.8785,19.4187,16.5394,17.2592,18.6989,18.4988,18.857,18.4989,21.2984,22.1487,20.4482,19.5934,23.0029,22.3676,20.2365,21.9379,20.659,22.1195,22.9736,20.4193
1,17.9985,18.5404,17.4567,17.0994,18.8989,19.4397,16.5574,17.2779,18.7191,18.5187,18.8773,18.5189,21.2972,22.1474,20.4471,19.5922,23.0015,22.3663,20.2353,21.9366,20.6578,22.1181,22.9721,20.4181
1.0081,18.0367,18.5797,17.4938,17.1357,18.9391,19.4809,16.5926,17.3146,18.7589,18.5579,18.9173,18.5581,21.2941,22.1442,20.4442,19.5894,22.9982,22.3631,20.2324,21.9335,20.6548,22.1147,22.9686,20.415
1.02024,18.0923,18.637,17.5478,17.1885,18.9975,19.5409,16.6438,17.3679,18.8167,18.6149,18.9755,18.615,21.288,22.1377,20.4384,19.5838,22.9915,22.3566,20.2265,21.9272,20.6488,22.1081,22.9617,20.409
1.03239,18.1458,18.6921,17.5997,17.2393,19.0537,19.5986,16.693,17.4192,18.8724,18.6698,19.0315,18.6699,21.2801,22.1295,20.4309,19.5766,22.983,22.3483,20.2189,21.9191,20.6412,22.0996,22.953,20.4013
1.04453,18.1973,18.7451,17.6497,17.2882,19.1078,19.6542,16.7404,17.4687,18.926,18.7226,19.0854,18.7226,21.2705,22.1194,20.4217,19.5678,22.9726,22.3382,20.2097,21.9093,20.6318,22.0893,22.9423,20.3919
1.05668,18.2468,18.7961,17.6978,17.3352,19.1598,19.7076,16.786,17.5161,18.9775,18.7733,19.1371,18.7734,21.2593,22.1077,20.411,19.5575,22.9604,22.3264,20.199,21.8978,20.6209,22.0774,22.93,20.381
1.06883,18.2944,18.845,17.7439,17.3804,19.2098,19.7589,16.8298,17.5618,19.0269,18.8221,19.1869,18.8221,21.2465,22.0944,20.3988,19.5457,22.9466,22.313,20.1868,21.8846,20.6085,22.0638,22.9159,20.3686
1.08097,18.34,18.892,17.7882,17.4238,19.2578,19.8081,16.8719,17.6056,19.0744,18.8688,19.2346,18.8688,21.2322,22.0794,20.3851,19.5326,22.9311,22.2979,20.1731,21.8699,20.5946,22.0487,22.9003,20.3548
1.09312,18.3838,18.9371,17.8307,17.4653,19.3037,19.8554,16.9122,17.6476,19.1199,18.9137,19.2804,18.9136,21.2165,22.063,20.3701,19.5181,22.9141,22.2813,20.1581,21.8537,20.5793,22.0321,22.883,20.3395
1.10526,18.4257,18.9803,17.8714,17.5052,19.3478,19.9006,16.9508,17.6878,19.1636,18.9566,19.3242,18.9565,21.1993,22.0451,20.3536,19.5023,22.8955,22.2633,20.1417,21.8361,20.5626,22.014,22.8643,20.3229
1.11741,18.4658,19.0216,17.9104,17.5433,19.39,19.9439,16.9877,17.7263,19.2053,18.9977,19.3662,18.9976,21.1808,22.0258,20.3359,19.4853,22.8755,22.2438,20.124,21.817,20.5446,21.9945,22.8441,20.3051
1.12955,18.5042,19.0611,17.9476,17.5797,19.4303,19.9852,17.0231,17.7631,19.2452,19.037,19.4063,19.0369,21.161,22.0051,20.317,19.4671,22.854,22.223,20.1052,21.7967,20.5254,21.9737,22.8225,20.2859
1.1417,18.5408,19.0988,17.9832,17.6145,19.4688,20.0247,17.0568,17.7982,19.2833,19.0745,19.4445,19.0743,21.1399,21.9831,20.2968,19.4477,22.8312,22.2008,20.0851,21.775,20.5049,21.9516,22.7995,20.2656
1.15385,18.5757,19.1347,18.0171,17.6477,19.5055,20.0624,17.089,17.8317,19.3197,19.1103,19.4811,19.1101,21.1177,21.9599,20.2755,19.4273,22.8072,22.1774,20.0638,21.7521,20.4833,21.9282,22.7753,20.2441
1.16599,18.609,19.169,18.0495,17.6793,19.5405,20.0983,17.1196,17.8636,19.3543,19.1443,19.5158,19.1441,21.0942,21.9355,20.253,19.4057,22.7818,22.1528,20.0415,21.728,20.4605,21.9036,22.7498,20.2215
1.17814,18.6406,19.2016,18.0802,17.7094,19.5737,20.1324,17.1488,17.894,19.3872,19.1767,19.5489,19.1764,21.0697,21.9099,20.2295,19.3831,22.7553,22.127,20.0181,21.7027,20.4367,21.8779,22.7231,20.1979
1.19028,18.6706,19.2325,18.1094,17.7379,19.6053,20.1648,17.1765,17.9228,19.4185,19.2074,19.5802,19.2071,21.044,21.8832,20.2049,19.3596,22.7276,22.1001,19.9937,21.6763,20.4118,21.851,22.6952,20.1732
1.20243,18.6991,19.2618,18.137,17.7649,19.6352,20.1955,17.2027,17.9501,19.4481,19.2365,19.61,19.2362,21.0174,21.8554,20.1794,19.3351,22.6987,22.072,19.9683,21.6489,20.3859,21.8231,22.6663,20.1475
1.21457,18.726,19.2895,18.1632,17.7905,19.6636,20.2245,17.2275,17.976,19.4761,19.2641,19.6381,19.2637,20.9897,21.8266,20.1529,19.3097,22.6688,22.043,19.942,21.6204,20.3591,21.7942,22.6362,20.1209
1.22672,18.7515,19.3157,18.1879,17.8147,19.6903,20.252,17.251,18.0004,19.5026,19.2901,19.6647,19.2897,20.9611,21.7968,20.1255,19.2833,22.6379,22.0129,19.9148,21.591,20.3313,21.7643,22.6052,20.0933
1.23887,18.7754,19.3404,18.2112,17.8375,19.7155,20.2778,17.2731,18.0233,19.5275,19.3145,19.6897,19.3141,20.9316,21.7661,20.0972,19.2562,22.606,21.9819,19.8867,21.5606,20.3026,21.7334,22.5732,20.0649
1.25101,18.7979,19.3636,18.2331,17.8588,19.7392,20.302,17.2938,18.0449,19.5509,19.3375,19.7132,19.3371,20.9012,21.7344,20.068,19.2282,22.5731,21.9499,19.8577,21.5293,20.2731,21.7017,22.5402,20.0357
1.26316,18.819,19.3853,18.2536,17.8789,19.7614,20.3248,17.3133,18.0652,19.5729,19.3591,19.7352,19.3586,20.8699,21.7019,20.0381,19.1995,22.5394,21.9171,19.828,21.4972,20.2428,21.669,22.5063,20.0056
1.2753,18.8387,19.4056,18.2727,17.8976,19.7821,20.346,17.3315,18.0841,19.5934,19.3792,19.7557,19.3787,20.8379,21.6685,20.0073,19.17,22.5047,21.8834,19.7975,21.4642,20.2116,21.6355,22.4715,19.9748
1.28745,18.8571,19.4244,18.2906,17.915,19.8014,20.3658,17.3484,18.1017,19.6125,19.3979,19.7748,19.3974,20.805,21.6343,19.9758,19.1398,22.4692,21.8489,19.7662,21.4303,20.1798,21.6012,22.4359,19.9432
1.2996,18.8741,19.442,18.3071,17.9312,19.8193,20.3841,17.3641,18.118,19.6302,19.4152,19.7926,19.4147,20.7714,21.5993,19.9436,19.1089,22.4329,21.8136,19.7343,21.3957,20.1471,21.5661,22.3995,19.9109
1.31174,18.8898,19.4581,18.3224,17.9461,19.8358,20.401,17.3786,18.1331,19.6466,19.4312,19.8089,19.4307,20.7371,21.5636,19.9107,19.0773,22.3958,21.7775,19.7016,21.3604,20.1138,21.5303,22.3623,19.8779
1.32389,18.9043,19.473,18.3364,17.9598,19.851,20.4166,17.3919,18.1469,19.6616,19.4459,19.8239,19.4453,20.7021,21.5271,19.8771,19.0451,22.358,21.7407,19.6683,21.3244,20.0799,21.4938,22.3244,19.8442
